step,continuous_action,discrete_action,reward,pnl,portfolio_value,position,position_change,pnl_component,pnl_unclipped,inactivity_penalty,opportunity_penalty,trade_bonus,total_reward
99,-0.38453781604766846,2,0.0,0.0,198438.44341909906,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
100,-0.4036945104598999,2,0.0,0.0,198690.0575851349,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
101,0.24401390552520752,0,-0.01,0.0,198764.73307512625,-0.03594488086226408,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
102,0.32692670822143555,0,-0.02,0.0,198825.53384110477,-0.03594488086226408,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
103,-0.40963274240493774,2,0.0,0.0,198967.85759687892,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
104,-0.5960665941238403,2,0.0,0.0,198996.4337771644,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
105,-0.018244624137878418,0,-0.01,0.0,198924.83157448677,-0.03594488086226408,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
106,0.3767080307006836,1,1.1128612834180163,219.53626158770567,198234.4231770463,0.03610133523314885,0.07204621609541292,1.1074578172108602,1.1074578172108602,-0.0,-0.0,0.0054034662071559695,1.1128612834180163
107,-0.37412357330322266,2,-1.6387147454848896,-325.3871996556518,197909.03597739062,-0.03603578773106402,-0.07213712296421287,-1.6441250297072056,-1.6441250297072056,-0.0,-0.0,0.0054102842223159656,-1.6387147454848896
108,0.0627591609954834,0,-0.01,0.0,197863.16241960897,-0.03603578773106402,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
109,-0.38358378410339355,2,0.0,0.0,197876.42358949402,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
110,-0.40584349632263184,2,0.0,0.0,198218.22303612315,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
111,-0.20985263586044312,0,-0.01,0.0,198222.94372431593,-0.03603578773106402,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
112,-0.23761385679244995,0,-0.02,0.0,198212.22307746593,-0.03603578773106402,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
113,-0.3746647834777832,2,0.0,0.0,197774.2801491703,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
114,-0.41630035638809204,2,0.0,0.0,197808.55018330255,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
115,0.024779319763183594,0,-0.01,0.0,197754.82082379554,-0.03603578773106402,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
