portfolio_value,action
1000000.0,0.109992504
1000000.0,-0.011524558
1000000.0,0.057846308
1000000.0,0.06634486
1000000.0,0.14463091
1000000.0,0.20960438
1000000.0,0.09886098
1000000.0,0.03862536
1000000.0,0.16350174
1000000.0,0.029205322
1000000.0,0.026841044
1000000.0,0.04052651
1000000.0,0.0062777996
1000000.0,-0.008226097
1000000.0,0.005459428
1000000.0,-0.0019638538
1000000.0,-0.05740589
1000000.0,0.049126625
1000000.0,0.1523509
1000000.0,-0.014162421
1000000.0,-0.012123585
1000000.0,0.11226702
1000000.0,-0.14675999
1000000.0,0.051346183
1000000.0,0.06243956
1000000.0,-0.029482007
1000000.0,0.089488626
1000000.0,0.06657505
1000000.0,0.13949466
1000000.0,0.06827307
1000000.0,0.25005388
1000000.0,0.12020326
1000000.0,0.118320465
1000000.0,0.03798139
1000000.0,-0.090179086
1000000.0,-0.2466746
1000000.0,0.08510935
1000000.0,0.109449625
1000000.0,-0.15174526
1000000.0,0.08179796
1000000.0,-0.046014965
1000000.0,0.0073115826
1000000.0,-0.085300446
1000000.0,0.040631413
1000000.0,0.07682574
1000000.0,0.10855532
1000000.0,0.12070727
1000000.0,0.14036751
1000000.0,-0.0046215653
1000000.0,-0.05412352
1000000.0,0.12978804
1000000.0,0.03704524
1000000.0,0.0035055876
1000000.0,0.13390458
1000000.0,0.13288677
1000000.0,0.09580672
1000000.0,0.11961901
1000000.0,-0.013711929
1000000.0,0.06330204
1000000.0,0.17188823
1000000.0,0.013268948
1000000.0,0.035452962
1000000.0,-0.05402541
1000000.0,-0.003661573
1000000.0,-0.05486095
1000000.0,0.14490557
1000000.0,0.08549273
1000000.0,0.06726968
1000000.0,0.08362186
1000000.0,0.09027779
1000000.0,0.12653172
1000000.0,-0.035510957
1000000.0,0.010568976
1000000.0,0.14582586
1000000.0,0.17037392
1000000.0,0.022894025
1000000.0,0.07057941
1000000.0,-0.0036393404
1000000.0,0.12327623
1000000.0,0.062620044
1000000.0,0.05054915
1000000.0,0.008954406
1000000.0,0.11853254
1000000.0,0.17009604
1000000.0,0.07656312
1000000.0,-0.18719226
1000000.0,0.057922482
1000000.0,0.040510178
1000000.0,-0.03535849
1000000.0,0.15230775
1000000.0,-0.018588841
1000000.0,0.032844305
1000000.0,-0.053314686
1000000.0,0.05575061
1000000.0,-0.038167834
1000000.0,0.08522475
1000000.0,0.1697433
1000000.0,0.01903832
1000000.0,0.051937938
1000000.0,-0.13526142
1000000.0,0.026802063
1000000.0,-0.21152663
1000000.0,-0.06739247
1000000.0,0.028879404
1000000.0,0.04162705
1000000.0,0.025000215
1000000.0,0.123696566
1000000.0,0.1245172
1000000.0,0.12505996
1000000.0,0.20780289
1000000.0,0.26385868
1000000.0,0.17365336
1000000.0,0.16976762
1000000.0,0.17915463
1000000.0,0.11310923
1000000.0,0.08743453
1000000.0,0.22043979
1000000.0,0.13725173
1000000.0,0.06328046
1000000.0,0.06974375
1000000.0,0.1908505
1000000.0,0.15366769
1000000.0,0.07656419
1000000.0,0.035609126
1000000.0,0.11375058
1000000.0,0.035171866
1000000.0,0.17559695
1000000.0,-0.035373926
1000000.0,-0.048317194
1000000.0,-0.026492536
1000000.0,-0.04232329
1000000.0,0.1217283
1000000.0,-0.016317189
1000000.0,0.12658799
1000000.0,0.07354307
1000000.0,0.053917646
1000000.0,0.09785128
1000000.0,0.11440694
1000000.0,0.045929432
1000000.0,0.06955695
1000000.0,0.021134734
1000000.0,0.029937744
1000000.0,-0.14789051
1000000.0,-0.09524274
1000000.0,0.08254516
1000000.0,-0.048969626
1000000.0,-0.12459922
1000000.0,-0.060462713
1000000.0,0.039826035
1000000.0,0.034843206
1000000.0,0.04906106
1000000.0,0.053386807
1000000.0,-0.0022819638
1000000.0,-0.06889635
1000000.0,0.15133178
1000000.0,0.07573426
1000000.0,0.009793878
1000000.0,-0.052817702
1000000.0,-0.051948547
1000000.0,-0.13962942
1000000.0,-0.07399112
1000000.0,-0.097997546
1000000.0,-0.036053717
1000000.0,-0.10915798
1000000.0,-0.0087375045
1000000.0,-0.100078166
1000000.0,-0.08016425
1000000.0,0.11658275
1000000.0,0.009552479
1000000.0,-0.064909816
1000000.0,0.044296026
1000000.0,-0.0019080043
1000000.0,0.04406452
1000000.0,0.053093195
1000000.0,0.114049315
1000000.0,0.15188742
1000000.0,0.11256695
1000000.0,-0.034590423
1000000.0,-0.07801241
1000000.0,0.115240574
1000000.0,-0.04346484
1000000.0,0.0834018
1000000.0,0.024802208
1000000.0,-0.029909253
1000000.0,0.10244191
1000000.0,0.06732726
1000000.0,-0.0067674518
1000000.0,-0.048457026
1000000.0,-0.09059465
1000000.0,0.06586981
1000000.0,0.008892298
1000000.0,0.024688601
1000000.0,0.09512961
1000000.0,-0.04415083
1000000.0,0.024052382
1000000.0,-0.022256017
1000000.0,-0.11494613
1000000.0,0.07428956
1000000.0,-0.11012983
1000000.0,-0.027815104
1000000.0,0.10468054
1000000.0,-0.035389066
1000000.0,0.05257237
1000000.0,-0.0173378
1000000.0,-0.01470685
1000000.0,-0.13559753
1000000.0,-0.041197777
1000000.0,0.016290307
1000000.0,-0.009622514
1000000.0,-0.06121564
1000000.0,0.10770869
1000000.0,-0.024514675
1000000.0,0.05654943
1000000.0,0.010023713
1000000.0,-0.037385523
1000000.0,-0.0072458982
1000000.0,0.08907771
1000000.0,0.050288677
1000000.0,0.004006505
1000000.0,0.108350515
1000000.0,0.030980468
1000000.0,-0.012016475
1000000.0,-0.056114674
1000000.0,0.114815
1000000.0,0.17433643
1000000.0,-0.09270179
1000000.0,-0.013264358
1000000.0,-0.0052390695
1000000.0,-0.03098154
1000000.0,-0.030641556
1000000.0,0.10875666
1000000.0,0.08430946
1000000.0,0.012401581
1000000.0,-0.036547065
1000000.0,0.13612866
1000000.0,0.10712302
1000000.0,0.09988165
1000000.0,0.07421017
1000000.0,0.00808394
1000000.0,0.104389906
1000000.0,0.13545954
1000000.0,0.09745729
1000000.0,0.087008476
1000000.0,0.066263795
1000000.0,0.04531443
1000000.0,0.121160746
1000000.0,0.17400801
1000000.0,0.07410574
1000000.0,0.041245222
1000000.0,0.080997825
1000000.0,0.10502851
