ts,pair,side,rsi,sma_short,sma_long,price,qty,pnl,win,source,ADX,ATR,ATR_simplified,BB_Lower,BB_Middle,BB_Position,BB_Upper,BB_Width,CCI,DOW,Donchian_Pos_20,Donchian_Slope_20,Donchian_Width_Rel_20,EMACross_Diff,EMACross_Signal,HV,HeikinAshi_Close,HeikinAshi_High,HeikinAshi_Low,HeikinAshi_Open,HourOfDay,Ichimoku_Chikou,Ichimoku_Cloud_Thickness,Ichimoku_Composite_Signal,Ichimoku_Cross,Ichimoku_Diff_Norm,Ichimoku_Kijun,Ichimoku_Price_Cloud_Distance,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Tenkan,Ichimoku_Trend,KAMA,Kalman_Estimate,Kalman_Residual,Kalman_Residual_Norm,MACD,MFI,MinusDI,OBV,PlusDI,PriceVolumeCorr,ROC,RSI,ReturnMA_Medium,ReturnMA_Short,ReturnStdDev,Stochastic,Supertrend,Supertrend_Direction,TEMA,VWAP,ZScore,atr_10,close,ema_5,high,low,open,rolling_mean_20,timestamp,volume
2025-09-30 16:36:00,BTC/JPY,sell,27.986127212097628,16712823.8,16727368.0,16701106.0,0.001,0.0,1,yahoo_finance_real,0.0,4568.389721701794,4568.389721701794,16702726.230777435,16727368.0,-0.03287569903769987,16752009.769222565,0.0029462817130064926,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16701106.0,16701106.0,16701106.0,16701106.0,16,16701106.0,0.0,0,0,0.0,16701106.0,0.0,16701106.0,16701106.0,16701106.0,0,16701106.0,16701106.0,0.0,0.0,-7040.227483039722,50.0,0.0,0.0,0.0,0.0,0.0,27.986127212097628,0.0,0.0,0.0,0.0,16701106.0,0,16701106.0,16701106.0,0.0,4568.389721701794,16701106.0,16712823.8,16701106.0,16701106.0,16701106.0,16727368.0,2025-09-30 16:36:00,0.0
2025-09-30 16:37:00,BTC/JPY,buy,27.382362119713633,16708503.2,16726021.0,16699816.0,0.001,0.0,1,yahoo_finance_real,0.0,4334.219027294523,4334.219027294523,16698603.728319189,16726021.0,0.022107810268733905,16753438.271680811,0.0032783973762572005,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16699816.0,16699816.0,16699816.0,16699816.0,16,16699816.0,0.0,0,0,0.0,16699816.0,0.0,16699816.0,16699816.0,16699816.0,0,16699816.0,16699816.0,0.0,0.0,-8089.347388347611,50.0,0.0,0.0,0.0,0.0,0.0,27.382362119713633,0.0,0.0,0.0,0.0,16699816.0,0,16699816.0,16699816.0,0.0,4334.219027294523,16699816.0,16708503.2,16699816.0,16699816.0,16699816.0,16726021.0,2025-09-30 16:37:00,710934528.0
2025-09-30 16:38:00,BTC/JPY,sell,28.244351856005366,16704457.2,16724630.2,16700483.0,0.001,0.0,1,yahoo_finance_real,0.0,4072.2748110591997,4072.2748110591997,16695077.374079948,16724630.2,0.09145700540915289,16754183.02592005,0.003534048354629804,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16700483.0,16700483.0,16700483.0,16700483.0,16,16700483.0,0.0,0,0,0.0,16700483.0,0.0,16700483.0,16700483.0,16700483.0,0,16700483.0,16700483.0,0.0,0.0,-8765.913155887276,50.0,0.0,0.0,0.0,0.0,0.0,28.244351856005366,0.0,0.0,0.0,1.370792058859797,16700483.0,0,16700483.0,16700483.0,0.0,4072.2748110591997,16700483.0,16704457.2,16700483.0,16700483.0,16700483.0,16724630.2,2025-09-30 16:38:00,0.0
2025-09-30 16:39:00,BTC/JPY,buy,28.620556952733665,16701512.0,16723049.0,16700758.0,0.001,0.0,1,yahoo_finance_real,0.0,3801.0408959835427,3801.0408959835427,16691979.287223369,16723049.0,0.14127444369608028,16754118.712776631,0.003715795220911105,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16700758.0,16700758.0,16700758.0,16700758.0,16,16700758.0,0.0,0,0,0.0,16700758.0,0.0,16700758.0,16700758.0,16700758.0,0,16700758.0,16700758.0,0.0,0.0,-9174.152282522991,50.0,0.0,0.0,0.0,0.0,0.0,28.620556952733665,0.0,0.0,0.0,2.0279434242535146,16700758.0,0,16700758.0,16700758.0,0.0,3801.0408959835427,16700758.0,16701512.0,16700758.0,16700758.0,16700758.0,16723049.0,2025-09-30 16:39:00,140509184.0
2025-09-30 16:40:00,BTC/JPY,sell,26.179237067104964,16699675.8,16721522.7,16696216.0,0.001,0.0,1,yahoo_finance_real,0.0,3853.9665462704324,3853.9665462704324,16688397.43753668,16721522.7,0.1180151020988644,16754647.96246332,0.003961991148487936,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16696216.0,16696216.0,16696216.0,16696216.0,16,16696216.0,0.0,0,0,0.0,16696216.0,0.0,16696216.0,16696216.0,16696216.0,0,16696216.0,16696216.0,0.0,0.0,-9751.773794475943,50.0,0.0,0.0,0.0,0.0,0.0,26.179237067104964,0.0,0.0,0.0,0.0,16696216.0,0,16696216.0,16696216.0,0.0,3853.9665462704324,16696216.0,16699675.8,16696216.0,16696216.0,16696216.0,16721522.7,2025-09-30 16:40:00,126078681088.0
2025-09-30 16:41:00,BTC/JPY,buy,25.643995841605232,16698491.4,16719807.95,16695184.0,0.001,0.0,1,yahoo_finance_real,0.0,3652.3975072511157,3652.3975072511157,16684999.812666677,16719807.95,0.1462903233775396,16754616.087333322,0.004163700616348565,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16695184.0,16695184.0,16695184.0,16695184.0,16,16695184.0,0.0,0,0,0.0,16695184.0,0.0,16695184.0,16695184.0,16695184.0,0,16695184.0,16695184.0,0.0,0.0,-10175.5197221376,50.0,0.0,0.0,0.0,0.0,0.0,25.643995841605232,0.0,0.0,0.0,0.0,16695184.0,0,16695184.0,16695184.0,0.0,3652.3975072511157,16695184.0,16698491.4,16695184.0,16695184.0,16695184.0,16719807.95,2025-09-30 16:41:00,0.0
2025-09-30 16:42:00,BTC/JPY,sell,24.18283502073386,16696998.6,16717758.75,16692352.0,0.001,0.0,1,yahoo_finance_real,0.0,3593.797685304607,3593.797685304607,16681579.007701617,16717758.75,0.14888155102841444,16753938.492298383,0.004328300562224977,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16692352.0,16692352.0,16692352.0,16692352.0,16,16692352.0,0.0,0,0,0.0,16692352.0,0.0,16692352.0,16692352.0,16692352.0,0,16692352.0,16692352.0,0.0,0.0,-10617.468586007133,50.0,0.0,0.0,0.0,0.0,0.0,24.18283502073386,0.0,0.0,0.0,0.0,16692352.0,0,16692352.0,16692352.0,0.0,3593.797685304607,16692352.0,16696998.6,16692352.0,16692352.0,16692352.0,16717758.75,2025-09-30 16:42:00,0.0
2025-09-30 16:43:00,BTC/JPY,buy,18.40851261196299,16692477.0,16715250.55,16677875.0,0.001,0.0,1,yahoo_finance_real,0.0,4371.169279211421,4371.169279211421,16675491.079698954,16715250.55,0.029979276421389443,16755010.020301048,0.004757268840465807,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16677875.0,16677875.0,16677875.0,16677875.0,16,16677875.0,0.0,0,0,0.0,16677875.0,0.0,16677875.0,16677875.0,16677875.0,0,16677875.0,16677875.0,0.0,0.0,-11997.58842424117,50.0,0.0,0.0,0.0,0.0,0.0,18.40851261196299,0.0,0.0,0.0,0.0,16677875.0,0,16677875.0,16677875.0,0.0,4371.169279211421,16677875.0,16692477.0,16677875.0,16677875.0,16677875.0,16715250.55,2025-09-30 16:43:00,129524826112.0
2025-09-30 16:44:00,BTC/JPY,sell,17.90196938717716,16687581.8,16711640.95,16676282.0,0.001,0.0,1,yahoo_finance_real,0.0,4172.728616410605,4172.728616410605,16671495.60553986,16711640.95,0.05961331910967015,16751786.294460138,0.0048044766615380225,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16676282.0,16676282.0,16676282.0,16676282.0,16,16676282.0,0.0,0,0,0.0,16676282.0,0.0,16676282.0,16676282.0,16676282.0,0,16676282.0,16676282.0,0.0,0.0,-13069.231164461002,50.0,0.0,0.0,0.0,0.0,0.0,17.90196938717716,0.0,0.0,0.0,0.0,16676282.0,0,16676282.0,16676282.0,0.0,4172.728616410605,16676282.0,16687581.8,16676282.0,16676282.0,16676282.0,16711640.95,2025-09-30 16:44:00,0.0
2025-09-30 16:45:00,BTC/JPY,buy,19.853568253675377,16683856.8,16708096.8,16677591.0,0.001,0.0,1,yahoo_finance_real,0.0,3968.1765723812764,3968.1765723812764,16669084.625112195,16708096.8,0.10902205416986664,16747108.974887807,0.004669852629511481,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16677591.0,16677591.0,16677591.0,16677591.0,16,16677591.0,0.0,0,0,0.0,16677591.0,0.0,16677591.0,16677591.0,16677591.0,0,16677591.0,16677591.0,0.0,0.0,-13655.478540252894,50.0,0.0,0.0,0.0,0.0,0.0,19.853568253675377,0.0,0.0,0.0,2.900059817887764,16677591.0,0,16677591.0,16677591.0,0.0,3968.1765723812764,16677591.0,16683856.8,16677591.0,16677591.0,16677591.0,16708096.8,2025-09-30 16:45:00,0.0
