portfolio_delta,portfolio_pct_change,portfolio_reward,position_bonus,action_penalty,total_reward
-13797.947226,-0.001,-0.1,0.091,0.01,-0.019
-14745.94199,-0.001,-0.1,0.061,0.01,-0.049
-5867.098775,-0.001,-0.1,0.075,0.01,-0.035
-2566.674613,-0.001,-0.1,0.09,0.01,-0.02
-6523.104738,-0.001,-0.1,0.089,0.01,-0.021
-18681.416807,-0.001,-0.1,0.1,0.01,-0.01
-2576.585187,-0.001,-0.1,0.0,0.0,-0.1
-2373.554619,-0.001,-0.1,0.032,0.01,-0.078
-6247.794239,-0.001,-0.1,0.047,0.01,-0.063
-6074.961379,-0.001,-0.1,0.063,0.01,-0.047
-10819.771613,-0.001,-0.1,0.069,0.01,-0.041
-14161.339229,-0.001,-0.1,0.1,0.01,-0.01
-6155.642832,-0.001,-0.1,0.011,0.01,-0.099
-4009.171051,-0.001,-0.1,0.071,0.01,-0.039
-7378.674775,-0.001,-0.1,0.1,0.01,-0.01
-5664.842787,-0.001,-0.1,0.026,0.01,-0.084
-3743.782658,-0.001,-0.1,0.011,0.01,-0.099
-7123.679053,-0.001,-0.1,0.1,0.01,-0.01
-17626.675497,-0.001,-0.1,0.074,0.01,-0.036
-2062.983085,-0.001,-0.1,0.0,0.0,-0.1
-5735.150404,-0.001,-0.1,0.077,0.01,-0.033
-3598.37053,-0.001,-0.1,0.071,0.01,-0.039
-1848.695077,-0.001,-0.1,0.045,0.01,-0.065
-6507.732142,-0.001,-0.1,0.022,0.01,-0.088
-3414.283223,-0.001,-0.1,0.031,0.01,-0.079
-8383.897583,-0.001,-0.1,0.071,0.01,-0.039
-1896.289579,-0.001,-0.1,0.0,0.0,-0.1
-7303.523222,-0.001,-0.1,0.098,0.01,-0.012
-9407.462616,-0.001,-0.1,0.1,0.01,-0.01
-8497.540467,-0.001,-0.1,0.052,0.01,-0.058
-2752.839632,-0.001,-0.1,0.016,0.01,-0.094
-4535.385246,-0.001,-0.1,0.052,0.01,-0.058
-8150.417869,-0.001,-0.1,0.098,0.01,-0.012
-12567.469518,-0.001,-0.1,0.0,0.0,-0.1
-7464.226811,-0.001,-0.1,0.1,0.01,-0.01
-23091.400878,-0.001,-0.1,0.1,0.01,-0.01
-9737.850049,-0.001,-0.1,0.1,0.01,-0.01
-11552.882381,-0.001,-0.1,0.078,0.01,-0.032
-1598.874631,-0.000819,-0.082,0.0,0.0,-0.082
0.0,0.0,0.0,0.0,0.0,0.0
-3220.943447,-0.001,-0.1,0.043,0.01,-0.067
-10057.581722,-0.001,-0.1,0.1,0.01,-0.01
2454.219899,0.001,0.1,0.1,0.01,0.19
2932.484547,0.001,0.1,0.1,0.01,0.19
-16669.742652,-0.001,-0.1,0.1,0.01,-0.01
-7259.233929,-0.001,-0.1,0.054,0.01,-0.056
-12041.170427,-0.001,-0.1,0.1,0.01,-0.01
-6110.092628,-0.001,-0.1,0.075,0.01,-0.035
-10058.635453,-0.001,-0.1,0.1,0.01,-0.01
-9034.450951,-0.001,-0.1,0.0,0.0,-0.1
0.0,0.0,0.0,0.0,0.0,0.0
-7479.014259,-0.001,-0.1,0.1,0.01,-0.01
-9748.368685,-0.001,-0.1,0.026,0.01,-0.084
-3233.305385,-0.001,-0.1,0.012,0.01,-0.098
-7722.201938,-0.001,-0.1,0.1,0.01,-0.01
-9512.470781,-0.001,-0.1,0.062,0.01,-0.048
-2723.098071,-0.001,-0.1,0.0,0.0,-0.1
-4798.681958,-0.001,-0.1,0.064,0.01,-0.046
-7791.702033,-0.001,-0.1,0.036,0.01,-0.074
-8311.970281,-0.001,-0.1,0.1,0.01,-0.01
-13492.302674,-0.001,-0.1,0.1,0.01,-0.01
-6344.641848,-0.001,-0.1,0.033,0.01,-0.077
-5817.795109,-0.001,-0.1,0.08,0.01,-0.03
-14780.053361,-0.001,-0.1,0.1,0.01,-0.01
-15359.888823,-0.001,-0.1,0.084,0.01,-0.026
-12551.566467,-0.001,-0.1,0.038,0.01,-0.072
-6532.646812,-0.001,-0.1,0.061,0.01,-0.049
-9672.093544,-0.001,-0.1,0.06,0.01,-0.05
-8255.027225,-0.001,-0.1,0.057,0.01,-0.053
-4755.661361,-0.001,-0.1,0.038,0.01,-0.072
-3053.581384,-0.001,-0.1,0.019,0.01,-0.091
-1475.933098,-0.000676,-0.068,0.008,0.01,-0.069
-4145.302633,-0.001,-0.1,0.053,0.01,-0.057
-9011.504348,-0.001,-0.1,0.056,0.01,-0.054
-16193.238693,-0.001,-0.1,0.1,0.01,-0.01
-2108.963398,-0.000952,-0.095,0.028,0.01,-0.077
-7356.136356,-0.001,-0.1,0.056,0.01,-0.054
-13572.236106,-0.001,-0.1,0.1,0.01,-0.01
-6817.322746,-0.001,-0.1,0.076,0.01,-0.034
-8130.241924,-0.001,-0.1,0.089,0.01,-0.021
-13142.74954,-0.001,-0.1,0.078,0.01,-0.032
-7819.858159,-0.001,-0.1,0.051,0.01,-0.059
-3361.743195,-0.001,-0.1,0.041,0.01,-0.069
-2566.099059,-0.001,-0.1,0.009,0.01,-0.101
-7484.529651,-0.001,-0.1,0.09,0.01,-0.02
-16436.406641,-0.001,-0.1,0.1,0.01,-0.01
-8753.416475,-0.001,-0.1,0.059,0.01,-0.051
-4495.318392,-0.001,-0.1,0.053,0.01,-0.057
-5073.701402,-0.001,-0.1,0.043,0.01,-0.067
-6419.2475,-0.001,-0.1,0.044,0.01,-0.066
-4760.035629,-0.001,-0.1,0.017,0.01,-0.093
-5977.726055,-0.001,-0.1,0.077,0.01,-0.033
-10461.752404,-0.001,-0.1,0.1,0.01,-0.01
-10708.67569,-0.001,-0.1,0.059,0.01,-0.051
-7692.561793,-0.001,-0.1,0.043,0.01,-0.067
-8656.860473,-0.001,-0.1,0.1,0.01,-0.01
1163.556642,0.00049,0.049,0.1,0.01,0.139
-15578.570467,-0.001,-0.1,0.044,0.01,-0.066
-12803.021364,-0.001,-0.1,0.1,0.01,-0.01
3593.013601,0.001,0.1,0.1,0.01,0.19
-3929.739066,-0.001,-0.1,0.0,0.0,-0.1
-7499.494176,-0.001,-0.1,0.1,0.01,-0.01
-5137.098213,-0.001,-0.1,0.1,0.01,-0.01
-12125.417013,-0.001,-0.1,0.038,0.01,-0.072
-9697.657293,-0.001,-0.1,0.1,0.01,-0.01
-10738.637555,-0.001,-0.1,0.075,0.01,-0.035
-9766.016558,-0.001,-0.1,0.03,0.01,-0.08
-5202.562724,-0.001,-0.1,0.05,0.01,-0.06
-5923.650986,-0.001,-0.1,0.036,0.01,-0.074
-3168.568881,-0.001,-0.1,0.026,0.01,-0.084
-7719.452237,-0.001,-0.1,0.1,0.01,-0.01
-10413.999545,-0.001,-0.1,0.038,0.01,-0.072
-6515.797823,-0.001,-0.1,0.1,0.01,-0.01
-8632.313864,-0.001,-0.1,0.055,0.01,-0.055
-11416.740271,-0.001,-0.1,0.1,0.01,-0.01
-8781.4337,-0.001,-0.1,0.096,0.01,-0.014
-14261.964234,-0.001,-0.1,0.1,0.01,-0.01
-6836.890835,-0.001,-0.1,0.009,0.01,-0.101
-7711.088021,-0.001,-0.1,0.096,0.01,-0.014
-11877.754987,-0.001,-0.1,0.1,0.01,-0.01
-8886.947888,-0.001,-0.1,0.0,0.0,-0.1
-7518.681537,-0.001,-0.1,0.1,0.01,-0.01
-5289.867351,-0.001,-0.1,0.037,0.01,-0.073
-6873.88719,-0.001,-0.1,0.031,0.01,-0.079
-4580.270067,-0.001,-0.1,0.06,0.01,-0.05
-4093.164656,-0.001,-0.1,0.1,0.01,-0.01
-3864.508935,-0.001,-0.1,0.1,0.01,-0.01
4389.8023,0.001,0.1,0.1,0.01,0.19
